601
         2302549 function calls (2302531 primitive calls) in 6.267 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 BmpImagePlugin.py:102(<lambda>)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:173(_open)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:184(DibImageFile)
        1    0.000    0.000    0.001    0.001 BmpImagePlugin.py:204(_save)
        2    0.000    0.000    0.000    0.000 BmpImagePlugin.py:218(<lambda>)
        1    0.001    0.001    0.003    0.003 BmpImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:55(_accept)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:62(BmpImageFile)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:67(_bitmap)
        1    0.001    0.001    0.004    0.004 FixTk.py:1(<module>)
        1    0.001    0.001    0.001    0.001 GifImagePlugin.py:28(<module>)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:54(GifImageFile)
        1    0.000    0.000    0.001    0.001 Image.py:1106(getdata)
   360000    0.289    0.000    0.834    0.000 Image.py:1481(putpixel)
        1    0.000    0.000    0.004    0.004 Image.py:1615(save)
        1    0.000    0.000    0.000    0.000 Image.py:1947(_ImageCrop)
        1    0.000    0.000    0.000    0.000 Image.py:1983(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:1988(ImageTransformHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2213(_decompression_bomb_check)
        1    0.000    0.000    0.008    0.008 Image.py:2227(open)
        6    0.000    0.000    0.000    0.000 Image.py:2393(register_open)
        4    0.000    0.000    0.000    0.000 Image.py:2408(register_mime)
        6    0.000    0.000    0.000    0.000 Image.py:2419(register_save)
       12    0.000    0.000    0.000    0.000 Image.py:2430(register_extension)
        1    0.004    0.004    0.010    0.010 Image.py:27(<module>)
        2    0.001    0.001    0.008    0.004 Image.py:338(preinit)
        1    0.000    0.000    0.000    0.000 Image.py:34(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:38(_imaging_not_installed)
        1    0.000    0.000    0.000    0.000 Image.py:401(_getdecoder)
        1    0.000    0.000    0.000    0.000 Image.py:418(_getencoder)
        1    0.000    0.000    0.000    0.000 Image.py:442(_E)
        1    0.000    0.000    0.000    0.000 Image.py:477(Image)
        1    0.000    0.000    0.000    0.000 Image.py:491(__init__)
        4    0.000    0.000    0.000    0.000 Image.py:599(__getattr__)
   360004    0.203    0.000    0.243    0.000 Image.py:736(load)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
   360003    0.226    0.000    0.470    0.000 ImageFile.py:130(load)
        1    0.000    0.000    0.000    0.000 ImageFile.py:259(load_prepare)
        1    0.000    0.000    0.000    0.000 ImageFile.py:268(load_end)
        1    0.000    0.000    0.000    0.000 ImageFile.py:281(StubImageFile)
        1    0.001    0.001    0.002    0.002 ImageFile.py:30(<module>)
